Date,Nasdaq,DJIA,S&P500
2022-09-06,11544.91015625,31145.30078125,3908.18994140625
2022-09-07,11791.900390625,31581.279296875,3979.8701171875
2022-09-08,11862.1298828125,31774.51953125,4006.179931640625
2022-09-09,12112.3095703125,32151.7109375,4067.360107421875
2022-09-12,12266.41015625,32381.33984375,4110.41015625
2022-09-13,11633.5703125,31104.970703125,3932.68994140625
2022-09-14,11719.6796875,31135.08984375,3946.010009765625
2022-09-15,11552.3603515625,30961.8203125,3901.35009765625
2022-09-16,11448.400390625,30822.419921875,3873.330078125
2022-09-19,11535.01953125,31019.6796875,3899.889892578125
2022-09-20,11425.0498046875,30706.23046875,3855.929931640625
2022-09-21,11220.1904296875,30183.779296875,3789.929931640625
2022-09-22,11066.8095703125,30076.6796875,3757.989990234375
2022-09-23,10867.9296875,29590.41015625,3693.22998046875
2022-09-26,10802.919921875,29260.810546875,3655.0400390625
2022-09-27,10829.5,29134.990234375,3647.2900390625
2022-09-28,11051.6396484375,29683.740234375,3719.0400390625
2022-09-29,10737.509765625,29225.609375,3640.469970703125
2022-09-30,10575.6201171875,28725.509765625,3585.6201171875
2022-10-03,10815.4296875,29490.890625,3678.429931640625
2022-10-04,11176.41015625,30316.3203125,3790.929931640625
2022-10-05,11148.6396484375,30273.869140625,3783.280029296875
2022-10-06,11073.3095703125,29926.939453125,3744.52001953125
2022-10-07,10652.400390625,29296.7890625,3639.659912109375
2022-10-10,10542.099609375,29202.880859375,3612.389892578125
2022-10-11,10426.1904296875,29239.189453125,3588.840087890625
2022-10-12,10417.099609375,29210.849609375,3577.030029296875
2022-10-13,10649.150390625,30038.720703125,3669.909912109375
2022-10-14,10321.3896484375,29634.830078125,3583.070068359375
2022-10-17,10675.7998046875,30185.8203125,3677.949951171875
2022-10-18,10772.400390625,30523.80078125,3719.97998046875
2022-10-19,10680.509765625,30423.810546875,3695.159912109375
2022-10-20,10614.83984375,30333.58984375,3665.780029296875
2022-10-21,10859.7197265625,31082.560546875,3752.75
2022-10-24,10952.6103515625,31499.619140625,3797.340087890625
2022-10-25,11199.1201171875,31836.740234375,3859.110107421875
2022-10-26,10970.990234375,31839.109375,3830.60009765625
2022-10-27,10792.669921875,32033.279296875,3807.300048828125
2022-10-28,11102.4501953125,32861.80078125,3901.06005859375
2022-10-31,10988.150390625,32732.94921875,3871.97998046875
2022-11-01,10890.849609375,32653.19921875,3856.10009765625
2022-11-02,10524.7998046875,32147.759765625,3759.68994140625
2022-11-03,10342.9404296875,32001.25,3719.889892578125
2022-11-04,10475.25,32403.220703125,3770.550048828125
2022-11-07,10564.51953125,32827.0,3806.800048828125
2022-11-08,10616.2001953125,33160.828125,3828.110107421875
2022-11-09,10353.169921875,32513.939453125,3748.570068359375
2022-11-10,11114.150390625,33715.37109375,3956.3701171875
2022-11-11,11323.330078125,33747.859375,3992.929931640625
2022-11-14,11196.2197265625,33536.69921875,3957.25
2022-11-15,11358.41015625,33592.921875,3991.72998046875
2022-11-16,11183.66015625,33553.828125,3958.7900390625
2022-11-17,11144.9599609375,33546.3203125,3946.56005859375
2022-11-18,11146.0595703125,33745.69140625,3965.340087890625
2022-11-21,11024.509765625,33700.28125,3949.93994140625
2022-11-22,11174.41015625,34098.1015625,4003.580078125
2022-11-23,11285.3203125,34194.05859375,4027.260009765625
2022-11-25,11226.3603515625,34347.03125,4026.1201171875
2022-11-28,11049.5,33849.4609375,3963.93994140625
2022-11-29,10983.7802734375,33852.53125,3957.6298828125
2022-11-30,11468.0,34589.76953125,4080.110107421875
2022-12-01,11482.4501953125,34395.01171875,4076.570068359375
2022-12-02,11461.5,34429.87890625,4071.699951171875
