Date,Nasdaq,DJIA,S&P500,nasdaq_ma5,nasdaq_ma20,nasdaq_ma60,nasdaq_ma120,nasdaq_ma200,dow_ma5,dow_ma20,dow_ma60,dow_ma120,dow_ma200,s_p_ma5,s_p_ma20,s_p_ma60,s_p_ma120,s_p_ma200
2020-11-25,12094.400390625,29872.470703125,3629.64990234375,11954.3,11679.091015625,11399.706673177085,11005.487833658854,10043.604291992187,29651.33828125,28804.62158203125,28213.328287760414,27509.162434895832,26204.788125,3596.41201171875,3514.9969848632813,3434.674495442708,3340.875838216146,3150.3724475097656
2020-11-27,12205.849609375,29910.369140625,3638.35009765625,12014.5279296875,11730.10400390625,11402.196826171876,11024.255330403646,10056.07369140625,29736.766015625,28967.1845703125,28226.826106770837,27531.146337890623,26207.22341796875,3607.7080078125,3531.408984375,3435.6329956054688,3344.468922932943,3151.6944982910154
2020-11-30,12198.740234375,29638.640625,3621.6298828125,12083.28203125,11794.4615234375,11414.54083658854,11042.40858561198,10068.411494140624,29811.798046875,29124.03662109375,28249.257942708333,27553.218424479168,26208.426220703124,3620.5259765625,3548.99248046875,3438.409159342448,3348.0646728515626,3152.9018481445314
2020-12-01,12355.1103515625,29823.919921875,3662.449951171875,12178.178125,11864.3365234375,11431.907177734374,11066.261751302083,10081.523344726562,29858.328125,29268.980078125,28277.434765625,27592.349674479166,26211.384873046874,3637.49794921875,3566.602978515625,3442.333992513021,3353.567588297526,3154.362647705078
2020-12-02,12349.3701171875,29883.7890625,3669.010009765625,12240.694140625,11923.776513671875,11456.935172526042,11089.26642252604,10094.184296875,29825.837890625,29389.16806640625,28317.14973958333,27628.0017578125,26214.063671875,3644.21796875,3581.5954833984374,3447.953491210937,3358.7984212239585,3155.776948242188
2020-12-03,12377.1796875,29969.51953125,3666.719970703125,12297.25,11963.096484375,11477.528841145831,11111.359423828126,10107.315346679688,29845.24765625,29495.26103515625,28350.967220052084,27663.054752604166,26217.8113671875,3651.631982421875,3592.759484863281,3452.4161580403647,3363.7995035807294,3157.2443981933598
2020-12-04,12464.23046875,30218.259765625,3699.1201171875,12348.926171875,11991.7615234375,11503.2728515625,11132.762426757812,10121.753549804687,29906.82578125,29586.6650390625,28395.69521484375,27695.790413411454,26223.940615234376,3663.785986328125,3602.1929931640625,3458.4149943033854,3368.586004638672,3159.0512487792967
2020-12-07,12519.9501953125,30069.7890625,3691.9599609375,12413.1681640625,12022.997509765624,11531.04619140625,11154.507592773438,10138.246899414062,29993.05546875,29673.98447265625,28435.76435546875,27728.70857747396,26234.485556640622,3677.852001953125,3611.318994140625,3464.264827473958,3373.4065877278645,3161.3815991210936
2020-12-08,12582.76953125,30173.880859375,3702.25,12458.7,12066.44697265625,11556.481510416666,11176.505257161458,10156.3326953125,30063.04765625,29724.77998046875,28472.106868489584,27762.82342122396,26249.9481640625,3685.81201171875,3618.906494140625,3469.57666015625,3378.297503662109,3164.251799316406
2020-12-09,12338.9501953125,30068.810546875,3672.820068359375,12456.616015625,12105.70146484375,11575.625341796876,11196.4455078125,10173.123544921877,30100.051953125,29757.17451171875,28506.660384114584,27797.801334635416,26265.50426757813,3686.5740234375,3625.27099609375,3474.103662109375,3383.0898376464843,3167.0339501953126
2020-12-10,12405.8095703125,29999.259765625,3668.10009765625,12462.3419921875,12136.670458984376,11598.214339192707,11216.02325032552,10192.320190429688,30106.0,29787.25595703125,28539.44169921875,27830.920491536457,26286.66736328125,3686.850048828125,3630.043005371094,3478.813830566406,3387.675170898437,3170.4806506347654
2020-12-11,12377.8701171875,30046.369140625,3663.4599609375,12445.069921875,12170.08447265625,11622.674169921876,11234.744083658854,10211.372690429687,30071.621875,29835.56591796875,28575.181510416667,27863.33940429688,26309.852412109376,3679.718017578125,3636.365502929688,3483.9213297526044,3392.109920247396,3174.0268505859376
2020-12-14,12440.0400390625,29861.55078125,3647.489990234375,12429.087890625,12200.62197265625,11650.120166015626,11255.83466796875,10228.812041015624,30029.97421875,29854.6529296875,28611.917024739585,27900.136165364584,26325.643564453127,3670.8240234375,3639.482507324218,3489.388330078125,3397.086252848307,3176.8131506347654
2020-12-15,12595.0595703125,30199.310546875,3694.6201171875,12431.5458984375,12234.16845703125,11680.391162109376,11277.318497721357,10248.366889648438,30035.06015625,29867.096484375,28662.777213541667,27937.250423177084,26347.05306640625,3669.298046875,3642.868017578125,3496.280997721354,3402.1767537434894,3180.2694006347656
2020-12-16,12658.1904296875,30154.5390625,3701.169921875,12495.3939453125,12272.110986328124,11708.633675130208,11301.49325358073,10266.567392578125,30052.205859375,29885.65595703125,28710.549869791663,27980.075325520836,26362.37146484375,3674.968017578125,3647.4500122070312,3502.7076619466147,3407.9444193522136,3183.124649658203
2020-12-17,12764.75,30303.369140625,3722.47998046875,12567.18203125,12320.268505859374,11744.163004557293,11325.581583658854,10286.698193359374,30113.027734375,29928.90341796875,28769.553841145836,28019.30506184896,26383.2819140625,3685.843994140625,3655.184509277344,3510.800329589844,3413.521419270833,3186.6173498535154
2020-12-18,12755.6396484375,30179.05078125,3709.409912109375,12642.7359375,12362.814990234376,11778.88583984375,11348.055501302084,10307.598291015624,30139.5640625,29963.69443359375,28825.61402994792,28055.68981119792,26404.85327148437,3695.033984375,3661.5614990234376,3518.513993326823,3418.5974182128907,3190.302548828125
2020-12-21,12742.51953125,30216.44921875,3694.919921875,12703.2318359375,12407.19248046875,11809.368505859376,11369.621248372396,10331.557487792968,30210.54375,30011.34287109375,28876.32216796875,28093.03546549479,26436.680419921875,3704.519970703125,3668.430493164063,3525.121659342448,3423.422916666667,3195.044348144532
2020-12-22,12807.919921875,30015.509765625,3687.260009765625,12745.80390625,12453.556982421876,11837.541666666666,11391.29033203125,10353.875837402344,30173.78359375,30032.5548828125,28916.846321614583,28127.93671875,26461.66716796875,3703.04794921875,3673.913989257812,3530.7159912109373,3428.0666666666666,3199.0694982910154
2020-12-23,12771.1103515625,30129.830078125,3690.010009765625,12768.387890625,12490.272998046876,11865.639339192709,11410.769165039062,10377.97114013672,30168.841796875,30036.734375,28961.4658203125,28159.96005859375,26494.55021484375,3700.815966796875,3676.643994140625,3536.624991861979,3432.319083658854,3203.812648925781
2020-12-24,12804.73046875,30199.869140625,3703.06005859375,12776.383984375,12525.789501953124,11892.92635091146,11431.276171875,10405.985793457032,30148.141796875,30053.104296875,29001.76865234375,28195.874137369792,26539.54646484375,3696.931982421875,3680.314501953125,3542.292659505208,3436.9669169108074,3209.9247497558595
2020-12-28,12899.419921875,30403.970703125,3735.360107421875,12805.1400390625,12560.468017578123,11919.141520182293,11451.333837890625,10431.108493652344,30193.12578125,30077.784375,29044.886490885416,28232.01323242188,26575.63822265625,3702.122021484375,3685.165002441406,3548.2019938151043,3441.678751627604,3215.0464501953124
2020-12-29,12850.2197265625,30335.669921875,3727.0400390625,12826.680078125,12593.0419921875,11948.728190104166,11470.52108561198,10460.836643066406,30216.969921875,30112.63583984375,29089.100813802084,28270.59306640625,26626.37397460937,3708.546044921875,3690.435510253906,3554.5123291015625,3446.4703348795574,3221.7510009765624
2020-12-30,12870.0,30409.560546875,3732.0400390625,12839.09609375,12618.786474609376,11974.353352864584,11489.292415364584,10488.512744140626,30295.780078125,30141.91787109375,29126.7828125,28306.71189778646,26672.23487304688,3717.50205078125,3693.9150146484376,3559.9029947916665,3451.028668212891,3227.765251464844
2020-12-31,12888.2802734375,30606.48046875,3756.070068359375,12862.530078125,12645.731982421876,12003.248030598956,11510.104418945311,10518.004946289062,30391.11015625,30178.05244140625,29174.011490885416,28344.384228515624,26725.77267578125,3730.7140625,3698.268017578125,3566.487996419271,3456.035752360026,3234.5551013183594
2021-01-04,12698.4501953125,30223.890625,3700.64990234375,12841.2740234375,12661.7955078125,12025.478873697915,11528.520003255207,10545.744296875,30395.914453125,30190.77099609375,29206.01865234375,28374.228401692708,26776.456181640624,3730.23203125,3699.964514160156,3571.1748291015624,3460.2285013834635,3241.011401367188
2021-01-05,12818.9599609375,30391.599609375,3726.860107421875,12825.18203125,12679.531982421877,12048.778531901042,11547.42391764323,10575.44149658203,30393.440234375,30199.43798828125,29238.78681640625,28403.57423502604,26832.54427734375,3728.53203125,3701.351513671875,3575.8419962565104,3464.397668457031,3248.121102294922
2021-01-06,12740.7900390625,30829.400390625,3748.139892578125,12803.29609375,12690.573974609377,12068.126025390626,11566.31525065104,10604.842097167968,30492.186328125,30237.4185546875,29276.16181640625,28437.696647135417,26893.731630859376,3732.752001953125,3704.160510253906,3580.358662923177,3468.8357503255206,3255.674802246094
2021-01-07,13067.48046875,31041.130859375,3803.7900390625,12842.7921875,12714.809521484374,12087.979703776042,11587.684334309895,10633.090200195313,30618.500390625,30280.7810546875,29312.888671875,28474.106494140626,26945.412734375,3747.102001953125,3709.237512207031,3584.851497395833,3473.661250813802,3262.457102050781
2021-01-08,13201.98046875,31097.970703125,3824.679931640625,12905.5322265625,12757.96103515625,12110.281038411458,11607.97508951823,10662.178603515626,30716.7984375,30332.2390625,29353.191341145837,28510.915673828124,26994.89983398437,3760.823974609375,3716.8305053710938,3590.063997395833,3478.4349161783853,3269.202701416016
2021-01-11,13036.4296875,31008.689453125,3799.610107421875,12973.128125,12789.492041015625,12131.40935872396,11627.609000651042,10688.373051757811,30873.758203125,30382.710546875,29394.769498697915,28545.651416015626,27037.182431640624,3780.616015625,3723.406005859375,3595.2463338216144,3482.954166666667,3275.050401611328
2021-01-12,13072.4296875,31068.689453125,3801.18994140625,13023.8220703125,12824.22001953125,12154.052018229168,11647.328165690104,10716.22330078125,31009.176171875,30433.8265625,29437.677669270837,28579.50849609375,27084.34198242188,3795.481982421875,3730.292504882813,3600.5438313802083,3487.330582682292,3281.349001464844
2021-01-13,13128.9501953125,31060.470703125,3809.840087890625,13101.4541015625,12858.66552734375,12178.341861979166,11669.557584635417,10742.997302246094,31055.390234375,30493.77255859375,29478.580338541666,28616.24300130208,27128.00693359375,3807.822021484375,3738.410009765625,3605.977665201823,3492.1154174804688,3287.264952392578
