Date,SHY,IEF,TLT
2017-12-13,84.0199966430664,106.18000030517578,127.33000183105469
2017-12-14,83.98999786376953,106.13999938964844,127.87000274658203
2017-12-15,83.94999694824219,106.12000274658203,128.35000610351562
2017-12-18,83.94999694824219,105.87999725341797,127.18000030517578
2017-12-19,83.91000366210938,105.4000015258789,125.52999877929688
2017-12-20,83.91999816894531,105.08999633789062,124.13999938964844
2017-12-21,83.81999969482422,105.0,124.5999984741211
2017-12-22,83.79000091552734,105.04000091552734,124.7699966430664
2017-12-26,83.77999877929688,105.08000183105469,125.13999938964844
2017-12-27,83.81999969482422,105.52999877929688,126.7699966430664
2017-12-28,83.83000183105469,105.4000015258789,126.66000366210938
2017-12-29,83.8499984741211,105.56999969482422,126.86000061035156
2018-01-02,83.81999969482422,105.22000122070312,125.48999786376953
2018-01-03,83.81999969482422,105.33000183105469,126.08999633789062
2018-01-04,83.77999877929688,105.27999877929688,126.06999969482422
2018-01-05,83.77999877929688,105.1500015258789,125.70999908447266
2018-01-08,83.77999877929688,105.0999984741211,125.62999725341797
2018-01-09,83.75,104.5999984741211,123.94999694824219
2018-01-10,83.77999877929688,104.56999969482422,123.80000305175781
2018-01-11,83.75,104.63999938964844,124.30999755859375
2018-01-12,83.73999786376953,104.56999969482422,124.5199966430664
2018-01-16,83.7300033569336,104.62000274658203,125.04000091552734
2018-01-17,83.69999694824219,104.38999938964844,124.87000274658203
2018-01-18,83.68000030517578,104.05999755859375,123.70999908447266
2018-01-19,83.70999908447266,103.79000091552734,123.05999755859375
2018-01-22,83.66999816894531,103.75,123.18000030517578
2018-01-23,83.72000122070312,104.05000305175781,123.70999908447266
2018-01-24,83.69999694824219,103.8499984741211,123.04000091552734
2018-01-25,83.68000030517578,104.08000183105469,124.05000305175781
2018-01-26,83.62999725341797,103.7699966430664,123.58999633789062
2018-01-29,83.5999984741211,103.51000213623047,122.7300033569336
2018-01-30,83.61000061035156,103.2699966430664,122.01000213623047
2018-01-31,83.61000061035156,103.30000305175781,122.7300033569336
2018-02-01,83.48999786376953,102.5999984741211,120.69999694824219
2018-02-02,83.5,102.22000122070312,119.58000183105469
2018-02-05,83.6500015258789,103.05999755859375,120.70999908447266
2018-02-06,83.58999633789062,102.61000061035156,119.95999908447266
2018-02-07,83.52999877929688,102.30999755859375,118.81999969482422
2018-02-08,83.54000091552734,102.4000015258789,118.69000244140625
2018-02-09,83.61000061035156,102.22000122070312,117.94000244140625
2018-02-12,83.56999969482422,102.19000244140625,118.45999908447266
2018-02-13,83.56999969482422,102.36000061035156,118.98999786376953
2018-02-14,83.44999694824219,101.73999786376953,117.66999816894531
2018-02-15,83.41999816894531,101.7699966430664,118.06999969482422
2018-02-16,83.44000244140625,102.01000213623047,118.70999908447266
2018-02-20,83.43000030517578,101.9000015258789,118.19000244140625
2018-02-21,83.44000244140625,101.5999984741211,116.73999786376953
2018-02-22,83.44999694824219,101.73999786376953,117.08999633789062
2018-02-23,83.47000122070312,102.12999725341797,118.12999725341797
2018-02-26,83.4800033569336,102.25,118.16999816894531
2018-02-27,83.41999816894531,101.93000030517578,118.0
2018-02-28,83.44000244140625,102.16999816894531,118.75
2018-03-01,83.47000122070312,102.44999694824219,119.31999969482422
2018-03-02,83.43000030517578,102.06999969482422,118.3499984741211
2018-03-05,83.43000030517578,101.94000244140625,118.02999877929688
2018-03-06,83.41000366210938,101.93000030517578,118.13999938964844
2018-03-07,83.41000366210938,101.93000030517578,118.01000213623047
2018-03-08,83.43000030517578,102.13999938964844,118.69000244140625
2018-03-09,83.38999938964844,101.91999816894531,117.91000366210938
2018-03-12,83.43000030517578,102.16000366210938,118.58999633789062
2018-03-13,83.44999694824219,102.33000183105469,119.19000244140625
2018-03-14,83.44000244140625,102.52999877929688,120.23999786376953
2018-03-15,83.44999694824219,102.48999786376953,120.23999786376953
2018-03-16,83.41000366210938,102.37000274658203,119.80999755859375
2018-03-19,83.41000366210938,102.2699966430664,119.43000030517578
2018-03-20,83.37999725341797,102.06999969482422,118.94999694824219
2018-03-21,83.44000244140625,102.13999938964844,119.08000183105469
2018-03-22,83.4800033569336,102.55999755859375,120.26000213623047
2018-03-23,83.5,102.69999694824219,120.16999816894531
2018-03-26,83.45999908447266,102.41999816894531,119.70999908447266
2018-03-27,83.5199966430664,103.0,120.98999786376953
2018-03-28,83.52999877929688,102.9800033569336,121.30999755859375
2018-03-29,83.55999755859375,103.19000244140625,121.9000015258789
2018-04-02,83.48999786376953,103.12000274658203,121.87999725341797
2018-04-03,83.44999694824219,102.79000091552734,120.94000244140625
2018-04-04,83.4000015258789,102.7300033569336,120.69000244140625
2018-04-05,83.41999816894531,102.47000122070312,119.79000091552734
2018-04-06,83.48999786376953,102.91999816894531,121.0999984741211
2018-04-09,83.4800033569336,102.94000244140625,121.30000305175781
2018-04-10,83.44000244140625,102.76000213623047,121.08000183105469
2018-04-11,83.44000244140625,102.86000061035156,121.51000213623047
2018-04-12,83.38999938964844,102.48999786376953,120.62000274658203
2018-04-13,83.37000274658203,102.58000183105469,120.9000015258789
2018-04-16,83.36000061035156,102.52999877929688,120.94000244140625
2018-04-17,83.36000061035156,102.58999633789062,121.2699966430664
2018-04-18,83.29000091552734,102.19000244140625,120.30000305175781
2018-04-19,83.29000091552734,101.91000366210938,119.31999969482422
2018-04-20,83.26000213623047,101.56999969482422,118.45999908447266
2018-04-23,83.25,101.47000122070312,118.48999786376953
2018-04-24,83.2699966430664,101.3499984741211,117.94999694824219
2018-04-25,83.26000213623047,101.12999725341797,117.16000366210938
2018-04-26,83.27999877929688,101.41999816894531,117.9800033569336
2018-04-27,83.30000305175781,101.58999633789062,118.88999938964844
2018-04-30,83.2699966430664,101.69999694824219,119.0999984741211
2018-05-01,83.12999725341797,101.3499984741211,118.41000366210938
2018-05-02,83.16000366210938,101.37000274658203,118.27999877929688
2018-05-03,83.22000122070312,101.62999725341797,118.80999755859375
2018-05-04,83.19000244140625,101.63999938964844,118.98999786376953
2018-05-07,83.19000244140625,101.58999633789062,118.80000305175781
2018-05-08,83.19999694824219,101.41999816894531,118.69000244140625
2018-05-09,83.16000366210938,101.19000244140625,117.9800033569336
2018-05-10,83.16000366210938,101.4000015258789,118.93000030517578
2018-05-11,83.16000366210938,101.41000366210938,119.2300033569336
2018-05-14,83.16000366210938,101.19000244140625,118.5999984741211
2018-05-15,83.11000061035156,100.62999725341797,117.25
2018-05-16,83.11000061035156,100.41999816894531,116.80000305175781
2018-05-17,83.12999725341797,100.36000061035156,116.20999908447266
2018-05-18,83.16999816894531,100.75,117.20999908447266
2018-05-21,83.16999816894531,100.81999969482422,117.2699966430664
2018-05-22,83.16999816894531,100.77999877929688,117.08999633789062
2018-05-23,83.23999786376953,101.23999786376953,117.94000244140625
2018-05-24,83.29000091552734,101.5,118.87999725341797
2018-05-25,83.36000061035156,101.9000015258789,119.62000274658203
2018-05-29,83.5999984741211,103.0,122.23999786376953
2018-05-30,83.5,102.55999755859375,121.41999816894531
2018-05-31,83.45999908447266,102.51000213623047,121.22000122070312
2018-06-01,83.2699966430664,101.93000030517578,120.30000305175781
2018-06-04,83.19999694824219,101.56999969482422,119.43000030517578
2018-06-05,83.25,101.83000183105469,119.70999908447266
2018-06-06,83.22000122070312,101.41999816894531,118.73999786376953
2018-06-07,83.30000305175781,101.8499984741211,119.88999938964844
2018-06-08,83.27999877929688,101.70999908447266,119.52999877929688
2018-06-11,83.25,101.61000061035156,119.30999755859375
2018-06-12,83.20999908447266,101.55000305175781,119.33999633789062
2018-06-13,83.16999816894531,101.43000030517578,119.27999877929688
2018-06-14,83.19999694824219,101.75,120.2699966430664
2018-06-15,83.23999786376953,101.83000183105469,120.37999725341797
2018-06-18,83.26000213623047,101.87999725341797,120.2699966430664
2018-06-19,83.29000091552734,102.1500015258789,120.97000122070312
2018-06-20,83.25,101.81999969482422,119.91000366210938
2018-06-21,83.30000305175781,102.08999633789062,120.54000091552734
2018-06-22,83.30999755859375,102.11000061035156,120.52999877929688
2018-06-25,83.33999633789062,102.25,120.80000305175781
2018-06-26,83.33999633789062,102.30000305175781,120.97000122070312
2018-06-27,83.38999938964844,102.69000244140625,122.11000061035156
2018-06-28,83.38999938964844,102.58999633789062,122.13999938964844
2018-06-29,83.37000274658203,102.51000213623047,121.72000122070312
2018-07-02,83.2300033569336,102.25,121.3499984741211
2018-07-03,83.26000213623047,102.51000213623047,122.0
2018-07-05,83.25,102.5199966430664,122.3499984741211
2018-07-06,83.2699966430664,102.61000061035156,122.75
2018-07-09,83.22000122070312,102.3499984741211,121.95999908447266
2018-07-10,83.20999908447266,102.2699966430664,121.94999694824219
2018-07-11,83.23999786376953,102.4800033569336,122.41999816894531
2018-07-12,83.2300033569336,102.44000244140625,122.41000366210938
2018-07-13,83.25,102.61000061035156,122.72000122070312
2018-07-16,83.2300033569336,102.44000244140625,122.20999908447266
2018-07-17,83.22000122070312,102.37999725341797,121.9800033569336
2018-07-18,83.20999908447266,102.30000305175781,121.48999786376953
2018-07-19,83.25,102.58000183105469,122.26000213623047
2018-07-20,83.25,102.22000122070312,120.76000213623047
2018-07-23,83.19999694824219,101.72000122070312,119.2699966430664
2018-07-24,83.20999908447266,101.79000091552734,119.68000030517578
2018-07-25,83.18000030517578,101.72000122070312,119.48999786376953
2018-07-26,83.18000030517578,101.61000061035156,119.26000213623047
2018-07-27,83.19000244140625,101.7699966430664,119.45999908447266
2018-07-30,83.19000244140625,101.63999938964844,119.05000305175781
2018-07-31,83.19000244140625,101.77999877929688,119.69999694824219
2018-08-01,83.05999755859375,101.33999633789062,118.45999908447266
2018-08-02,83.11000061035156,101.45999908447266,118.62999725341797
2018-08-03,83.12000274658203,101.72000122070312,119.22000122070312
2018-08-06,83.13999938964844,101.7699966430664,119.29000091552734
2018-08-07,83.11000061035156,101.55999755859375,118.66999816894531
2018-08-08,83.12000274658203,101.6500015258789,118.79000091552734
2018-08-09,83.16999816894531,101.93000030517578,119.79000091552734
2018-08-10,83.25,102.37000274658203,120.66000366210938
